date,species,mixed_species,repeated,IDtime,NOtime,density,number,leafDW,total
20231218,Corn,Corn/Wheat,1,1,7,Low,90,0.0269,0.2193
20231218,Corn,Corn/Wheat,1,1,7,Low,90,0.0151,0.1707
20231218,Corn,Corn/Wheat,1,1,7,Low,90,0.0153,0.1544
20231218,Corn,Corn/Wheat,1,1,7,Low,90,0.0161,0.2077
20231218,Corn,Corn/Wheat,1,1,7,Low,90,0.0264,0.1706
20231218,Wheat,Corn/Wheat,1,1,7,Low,90,0.0129,0.0305
20231218,Wheat,Corn/Wheat,1,1,7,Low,90,0.0133,0.0274
20231218,Wheat,Corn/Wheat,1,1,7,Low,90,0.013,0.0289
20231218,Wheat,Corn/Wheat,1,1,7,Low,90,0.0106,0.0249
20231218,Wheat,Corn/Wheat,1,1,7,Low,90,0.0087,0.0192
20231218,Corn,Corn/Wheat,2,1,7,Low,90,0.0433,0.2172
20231218,Corn,Corn/Wheat,2,1,7,Low,90,0.0256,0.1838
20231218,Corn,Corn/Wheat,2,1,7,Low,90,0.0463,0.2838
20231218,Corn,Corn/Wheat,2,1,7,Low,90,0.0283,0.2077
20231218,Corn,Corn/Wheat,2,1,7,Low,90,0.0094,0.1753
20231218,Wheat,Corn/Wheat,2,1,7,Low,90,0.0085,0.0252
20231218,Wheat,Corn/Wheat,2,1,7,Low,90,0.0078,0.0392
20231218,Wheat,Corn/Wheat,2,1,7,Low,90,0.0126,0.0279
20231218,Wheat,Corn/Wheat,2,1,7,Low,90,0.0115,0.025
20231218,Wheat,Corn/Wheat,2,1,7,Low,90,0.0058,0.04
20231218,Corn,Corn/Wheat,3,1,7,Low,90,0.0319,0.2576
20231218,Corn,Corn/Wheat,3,1,7,Low,90,0.0065,0.2312
20231218,Corn,Corn/Wheat,3,1,7,Low,90,0.0248,0.2028
20231218,Corn,Corn/Wheat,3,1,7,Low,90,0.0148,0.2588
20231218,Corn,Corn/Wheat,3,1,7,Low,90,0.0314,0.3276
20231218,Wheat,Corn/Wheat,3,1,7,Low,90,0.0123,0.0272
